"Codice Ateco 2007",Descrizione,Aggiornamento
47.41.00,"Commercio al dettaglio di computer, unità periferiche, software e attrezzature per ufficio in esercizi specializzati",
47.42,Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,
47.42.0,Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,
47.42.00,Commercio al dettaglio di apparecchiature per le telecomunicazioni e la telefonia in esercizi specializzati,
47.43,Commercio al dettaglio di apparecchiature audio e video in esercizi specializzati,
47.43.0,Commercio al dettaglio di apparecchi audio e video in esercizi specializzati,
47.43.00,Commercio al dettaglio di apparecchi audio e video in esercizi specializzati,
47.5,COMMERCIO AL DETTAGLIO DI ALTRI PRODOTTI PER USO DOMESTICO IN ESERCIZI SPECIALIZZATI,
47.51,Commercio al dettaglio di prodotti tessili in esercizi specializzati,
47.51.1,"Commercio al dettaglio di tessuti per l'abbigliamento, l'arredamento e di biancheria per la casa",
47.51.10,"Commercio al dettaglio di tessuti per l'abbigliamento, l'arredamento e di biancheria per la casa",
47.51.2,Commercio al dettaglio di filati per maglieria e merceria,
47.51.20,Commercio al dettaglio di filati per maglieria e merceria,
47.52,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiali da costruzione in esercizi specializzati",
47.52.1,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",
47.52.10,"Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico",
47.52.2,Commercio al dettaglio di articoli igienico-sanitari,
47.52.20,Commercio al dettaglio di articoli igienico-sanitari,
47.52.3,"Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle",
47.52.30,"Commercio al dettaglio di materiali da costruzione, ceramiche e piastrelle",
47.52.4,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio",
47.52.40,"Commercio al dettaglio di macchine, attrezzature e prodotti per l'agricoltura; macchine e attrezzature per il giardinaggio",
47.53,"Commercio al dettaglio di tappeti, scendiletto e rivestimenti per pavimenti e pareti (moquette, linoleum) in esercizi specializzati",
47.53.1,"Commercio al dettaglio di tappeti, tende e tendine",
47.53.11,Commercio al dettaglio di tende e tendine,
47.53.12,Commercio al dettaglio di tappeti,
47.53.2,Commercio al dettaglio di carta da parati e rivestimenti per pavimenti (moquette e linoleum),
47.53.20,Commercio al dettaglio di carta da parati e rivestimenti per pavimenti (moquette e linoleum),
47.54,Commercio al dettaglio di elettrodomestici in esercizi specializzati,
47.54.0,Commercio al dettaglio di elettrodomestici in esercizi specializzati,
47.54.00,Commercio al dettaglio di elettrodomestici in esercizi specializzati,
47.59,"Commercio al dettaglio di mobili, di articoli per l'illuminazione e altri articoli per la casa in esercizi specializzati",
47.59.1,Commercio al dettaglio di mobili per la casa,
47.59.10,Commercio al dettaglio di mobili per la casa,
47.59.2,"Commercio al dettaglio di utensili per la casa, di cristallerie e vasellame",
47.59.20,"Commercio al dettaglio di utensili per la casa, di cristallerie e vasellame",
47.59.3,Commercio al dettaglio di articoli per l'illuminazione,
47.59.30,Commercio al dettaglio di articoli per l'illuminazione,
47.59.4,Commercio al dettaglio di macchine per cucire e per maglieria per uso domestico,
47.59.40,Commercio al dettaglio di macchine per cucire e per maglieria per uso domestico,
47.59.5,Commercio al dettaglio di sistemi di sicurezza,
47.59.50,Commercio al dettaglio di sistemi di sicurezza,
47.59.6,Commercio al dettaglio di strumenti musicali e spartiti,
47.59.60,Commercio al dettaglio di strumenti musicali e spartiti,
47.59.9,Commercio al dettaglio di altri articoli diversi per uso domestico nca,
47.59.91,"Commercio al dettaglio di articoli in legno, sughero, vimini e articoli in plastica per uso domestico",
47.59.99,Commercio al dettaglio di altri articoli per uso domestico nca,
47.6,COMMERCIO AL DETTAGLIO DI ARTICOLI CULTURALI E RICREATIVI IN ESERCIZI SPECIALIZZATI,
47.61,Commercio al dettaglio di libri in esercizi specializzati,
47.61.0,Commercio al dettaglio di libri nuovi in esercizi specializzati,
47.61.00,Commercio al dettaglio di libri nuovi in esercizi specializzati,
47.62,Commercio al dettaglio di giornali e articoli di cartoleria in esercizi specializzati,
47.62.1,"Commercio al dettaglio di giornali, riviste e periodici",
47.62.10,"Commercio al dettaglio di giornali, riviste e periodici",
47.62.2,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,
47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,
47.63,Commercio al dettaglio di registrazioni musicali e video in esercizi specializzati,
47.63.0,Commercio al dettaglio di registrazioni musicali e video in esercizi specializzati,
47.63.00,Commercio al dettaglio di registrazioni musicali e video in esercizi specializzati,
47.64,Commercio al dettaglio di articoli sportivi in esercizi specializzati,
47.64.1,"Commercio al dettaglio di articoli sportivi, biciclette e articoli per il tempo libero",
47.64.10,"Commercio al dettaglio di articoli sportivi, biciclette e articoli per il tempo libero",
47.64.2,Commercio al dettaglio di natanti e accessori,
47.64.20,Commercio al dettaglio di natanti e accessori,
47.65,Commercio al dettaglio di giochi e giocattoli in esercizi specializzati,
47.65.0,Commercio al dettaglio di giochi e giocattoli (inclusi quelli elettronici),
47.65.00,Commercio al dettaglio di giochi e giocattoli (inclusi quelli elettronici),
47.7,COMMERCIO AL DETTAGLIO DI ALTRI PRODOTTI IN ESERCIZI SPECIALIZZATI,
47.71,Commercio al dettaglio di articoli di abbigliamento in esercizi specializzati,
47.71.1,Commercio al dettaglio di confezioni per adulti,
47.71.10,Commercio al dettaglio di confezioni per adulti,
47.71.2,Commercio al dettaglio di confezioni per bambini e neonati,
47.71.20,Commercio al dettaglio di confezioni per bambini e neonati,
47.71.3,"Commercio al dettaglio di biancheria personale, maglieria, camicie",
47.71.30,"Commercio al dettaglio di biancheria personale, maglieria, camicie",
47.71.4,Commercio al dettaglio di pellicce e di abbigliamento in pelle,
47.71.40,Commercio al dettaglio di pellicce e di abbigliamento in pelle,
47.71.5,"Commercio al dettaglio di cappelli, ombrelli, guanti e cravatte",
47.71.50,"Commercio al dettaglio di cappelli, ombrelli, guanti e cravatte",
47.72,Commercio al dettaglio di calzature e articoli in pelle in esercizi specializzati,
47.72.1,Commercio al dettaglio di calzature e accessori,
47.72.10,Commercio al dettaglio di calzature e accessori,
47.72.2,Commercio al dettaglio di articoli di pelletteria e da viaggio,
47.72.20,Commercio al dettaglio di articoli di pelletteria e da viaggio,
47.73,Commercio al dettaglio di medicinali in esercizi specializzati,
47.73.1,Farmacie,
47.73.10,Farmacie,
47.73.2,Commercio al dettaglio in altri esercizi specializzati di medicinali non soggetti a prescrizione medica,
47.73.20,Commercio al dettaglio in altri esercizi specializzati di medicinali non soggetti a prescrizione medica,
47.74,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati,
47.74.0,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati,
47.74.00,Commercio al dettaglio di articoli medicali e ortopedici in esercizi specializzati,
47.75,"Commercio al dettaglio di cosmetici, di articoli di profumeria e di erboristeria in esercizi specializzati",
47.75.1,"Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene personale",
47.75.10,"Commercio al dettaglio di articoli di profumeria, prodotti per toletta e per l'igiene personale",
47.75.2,Erboristerie,
47.75.20,Erboristerie,
47.76,"Commercio al dettaglio di fiori, piante, semi, fertilizzanti, animali domestici e alimenti per animali domestici in esercizi specializzati",
47.76.1,Commercio al dettaglio di fiori e piante,
47.76.10,Commercio al dettaglio di fiori e piante,
47.76.2,Commercio al dettaglio di piccoli animali domestici,
47.76.20,Commercio al dettaglio di piccoli animali domestici,
47.77,Commercio al dettaglio di orologi e articoli di gioielleria in esercizi specializzati,
47.77.0,"Commercio al dettaglio di orologi, articoli di gioielleria e argenteria",
47.77.00,"Commercio al dettaglio di orologi, articoli di gioielleria e argenteria",
47.78,Commercio al dettaglio di altri prodotti (esclusi quelli di seconda mano) in esercizi specializzati,
47.78.1,Commercio al dettaglio di mobili per ufficio,
47.78.10,Commercio al dettaglio di mobili per ufficio,
47.78.2,Commercio al dettaglio di materiale per ottica e fotografia,
47.78.20,Commercio al dettaglio di materiale per ottica e fotografia,
47.78.3,"Commercio al dettaglio di oggetti d'arte di culto e di decorazione, chincaglieria e bigiotteria",
47.78.31,Commercio al dettaglio di oggetti d'arte (incluse le gallerie d'arte),
47.78.32,Commercio al dettaglio di oggetti d'artigianato,
47.78.33,Commercio al dettaglio di arredi sacri ed articoli religiosi,
47.78.34,Commercio al dettaglio di articoli da regalo e per fumatori,
47.78.35,Commercio al dettaglio di bomboniere,
47.78.36,Commercio al dettaglio di chincaglieria e bigiotteria (inclusi gli oggetti ricordo e gli articoli di promozione pubblicitaria),
47.78.37,Commercio al dettaglio di articoli per le belle arti,
47.78.4,Commercio al dettaglio di combustibile per uso domestico e per riscaldamento,
47.78.40,Commercio al dettaglio di combustibile per uso domestico e per riscaldamento,
47.78.5,"Commercio al dettaglio di armi e munizioni, articoli militari",
47.78.50,"Commercio al dettaglio di armi e munizioni, articoli militari",
47.78.6,"Commercio al dettaglio di saponi, detersivi, prodotti per la lucidatura e affini",
47.78.60,"Commercio al dettaglio di saponi, detersivi, prodotti per la lucidatura e affini",
47.78.9,Commercio al dettaglio di altri prodotti non alimentari,
47.78.91,"Commercio al dettaglio di filatelia, numismatica e articoli da collezionismo",
47.78.92,"Commercio al dettaglio di spaghi, cordami, tele e sacchi di juta e prodotti per l'imballaggio (esclusi quelli in carta e cartone)",
47.78.93,Commercio al dettaglio di articoli funerari e cimiteriali,
47.78.94,Commercio al dettaglio di articoli per adulti (sexy shop),
47.78.99,Commercio al dettaglio di altri prodotti non alimentari nca,
47.79,Commercio al dettaglio di articoli di seconda mano in negozi,
47.79.1,Commercio al dettaglio di libri di seconda mano,
47.79.10,Commercio al dettaglio di libri di seconda mano,
47.79.2,Commercio al dettaglio di mobili usati e oggetti di antiquariato,
47.79.20,Commercio al dettaglio di mobili usati e oggetti di antiquariato,
47.79.3,Commercio al dettaglio di indumenti e altri oggetti usati,
47.79.30,Commercio al dettaglio di indumenti e altri oggetti usati,
47.79.4,Case d'asta al dettaglio (escluse aste via internet),
47.79.40,Case d'asta al dettaglio (escluse aste via internet),
47.8,COMMERCIO AL DETTAGLIO AMBULANTE,
47.81,Commercio al dettaglio ambulante di prodotti alimentari e bevande,
47.81.0,Commercio al dettaglio ambulante di prodotti alimentari e bevande,
47.81.01,Commercio al dettaglio ambulante di prodotti ortofrutticoli,
47.81.02,Commercio al dettaglio ambulante di prodotti ittici,
47.81.03,Commercio al dettaglio ambulante di carne,
47.81.09,Commercio al dettaglio ambulante di altri prodotti alimentari e bevande nca,
47.82,"Commercio al dettaglio ambulante di prodotti tessili, abbigliamento e calzature",
47.82.0,"Commercio al dettaglio ambulante di prodotti tessili, abbigliamento, calzature e pelletterie",
47.82.01,"Commercio al dettaglio ambulante di tessuti, articoli tessili per la casa, articoli di abbigliamento",
47.82.02,Commercio al dettaglio ambulante di calzature e pelletterie,
47.89,Commercio al dettaglio ambulante di altri prodotti,
47.89.0,Commercio al dettaglio ambulante di altri prodotti,
47.89.01,"Commercio al dettaglio ambulante di fiori, piante, bulbi, semi e fertilizzanti",
47.89.02,"Commercio al dettaglio ambulante di macchine, attrezzature e prodotti per l'agricoltura; attrezzature per il giardinaggio",
47.89.03,"Commercio al dettaglio ambulante di profumi e cosmetici; saponi, detersivi ed altri detergenti per qualsiasi uso",
47.89.04,Commercio al dettaglio ambulante di chincaglieria e bigiotteria,
47.89.05,Commercio al dettaglio ambulante di arredamenti per giardino; mobili; tappeti e stuoie; articoli casalinghi; elettrodomestici; materiale elettrico,
47.89.09,Commercio al dettaglio ambulante di altri prodotti nca,
47.9,"COMMERCIO AL DETTAGLIO AL DI FUORI DI NEGOZI, BANCHI E MERCATI",
47.91,Commercio al dettaglio per corrispondenza o attraverso internet,
47.91.1,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,
47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,
47.91.2,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato per televisione,
47.91.20,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato per televisione,
47.91.3,"Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza, radio, telefono",
47.91.30,"Commercio al dettaglio di qualsiasi tipo di prodotto per corrispondenza, radio, telefono",
47.99,"Altro commercio al dettaglio al di fuori di negozi, banchi o mercati",
47.99.1,"Commercio al dettaglio di prodotti vari, mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta)",
47.99.10,"Commercio al dettaglio di prodotti vari, mediante l'intervento di un dimostratore o di un incaricato alla vendita (porta a porta)",
47.99.2,Commercio effettuato per mezzo di distributori automatici,
47.99.20,Commercio effettuato per mezzo di distributori automatici,
H,TRASPORTO E MAGAZZINAGGIO,
49,TRASPORTO TERRESTRE E TRASPORTO MEDIANTE CONDOTTE,
49.1,TRASPORTO FERROVIARIO DI PASSEGGERI (INTERURBANO),
49.10,Trasporto ferroviario di passeggeri (interurbano),
49.10.0,Trasporto ferroviario di passeggeri (interurbano),
49.10.00,Trasporto ferroviario di passeggeri (interurbano),
49.2,TRASPORTO FERROVIARIO DI MERCI,
49.20,Trasporto ferroviario di merci,
49.20.0,Trasporto ferroviario di merci,
49.20.00,Trasporto ferroviario di merci,
49.3,ALTRI TRASPORTI TERRESTRI DI PASSEGGERI,
49.31,Trasporto terrestre di passeggeri in aree urbane e suburbane,
49.31.0,Trasporto terrestre di passeggeri in aree urbane e suburbane,
49.31.00,Trasporto terrestre di passeggeri in aree urbane e suburbane,
49.32,"Trasporto con taxi, noleggio di autovetture con conducente",
49.32.1,Trasporto con taxi,
49.32.10,Trasporto con taxi,
49.32.2,Trasporto mediante noleggio di autovetture da rimessa con conducente,
49.32.20,Trasporto mediante noleggio di autovetture da rimessa con conducente,
49.39,Altri trasporti terrestri di passeggeri nca,
49.39.0,Altri trasporti terrestri di passeggeri nca,
49.39.01,"Gestioni di funicolari, ski-lift e seggiovie se non facenti parte dei sistemi di transito urbano o suburbano",
49.39.09,Altre attività di trasporti terrestri di passeggeri nca,
49.4,TRASPORTO DI MERCI SU STRADA E SERVIZI DI TRASLOCO,
49.41,Trasporto di merci su strada,
